,Unnamed: 0,Unnamed: 0.1,Source,Size,Rate,Loss,Expected loss
13908,13908,2027,ITCS006,7.5,0.0007297509610712982,4663369401.04696,3403098.302244503
13890,13890,2009,ITCS006,7.4,0.0009187020291738721,4376253864.322635,4020473.3053332036
13802,13802,1921,ITCS021,7.1,0.0018330515374960707,4170378676.637545,7644519.04515128
13865,13865,1984,ITCS006,7.3,0.0011565773303938561,4079446191.8551617,4718194.986061226
13834,13834,1953,ITCS006,7.2,0.0014560445919378825,3838343089.852576,5588798.697981984
13791,13791,1910,ITCS006,7.1,0.0018330515374960707,3627102470.248785,6648665.7597453315
13737,13737,1856,ITCS006,7.0,0.0023076751616821715,3218009793.617301,7426121.270780616
13754,13754,1873,ITCS021,7.0,0.0023076751616821715,2682369558.289406,6190037.604116839
13666,13666,1785,ITCS006,6.9,0.0029051909032078967,2390478804.609561,6944797.2774629835
13687,13687,1806,ITCS021,6.9,0.0029051909032078967,1570682954.4860947,4563133.831196705
13586,13586,1705,ITCS006,6.8,0.003657418654161675,1263183173.6988914,4619989.703109473
13585,13585,1704,ITCS006,6.8,0.003657418654161675,883222735.7227578,3230315.3094121213
13609,13609,1728,ITCS021,6.8,0.003657418654161675,633293420.2426258,2316219.1687532286
13803,13803,1922,ITCS021,7.1,0.0018330515374960707,589097122.0179304,1079845.3852494776
13483,13483,1602,ITCS006,6.7,0.004604417285294149,410571477.12827015,1890442.4061381584
13755,13755,1874,ITCS021,7.0,0.0023076751616821715,381528038.964176,880442.7790029367
13689,13689,1808,ITCS021,6.9,0.0029051909032078967,293835861.909778,853649.2730565388
13688,13688,1807,ITCS021,6.9,0.0029051909032078967,293302444.00655663,852099.5922164918
13611,13611,1730,ITCS021,6.8,0.003657418654161675,174853914.08760667,639513.9671371955
13610,13610,1729,ITCS021,6.8,0.003657418654161675,156634725.4297017,572878.766676083
13511,13511,1630,ITCS021,6.7,0.004604417285294149,144683286.21100858,666182.2239231284
13667,13667,1786,ITCS006,6.9,0.0029051909032078967,100071212.85825089,290725.97726877156
13913,13913,2032,ITCS222,7.5,0.0007297509610712982,76191136.80537435,55600.555308836694
13361,13361,1480,ITCS006,6.6,0.0057966179269611255,67355033.77182153,390431.3962328127
13513,13513,1632,ITCS021,6.7,0.004604417285294149,61013733.45676927,280932.68896867835
13514,13514,1633,ITCS021,6.7,0.004604417285294149,61010002.17001776,280915.5085674633
13898,13898,2017,ITCS222,7.4,0.0009187020291738721,17929121.598958686,16471.520394268442
13395,13395,1514,ITCS021,6.6,0.0057966179269611255,17071712.173128247,98958.19282667567
13909,13909,2028,ITCS006,7.5,0.0007297509610712982,15540451.754143307,11340.659603068221
13397,13397,1516,ITCS021,6.6,0.0057966179269611255,10288459.97954892,59638.271558275366
13398,13398,1517,ITCS021,6.6,0.0057966179269611255,6519994.6288013365,37793.91774900007
13512,13512,1631,ITCS021,6.7,0.004604417285294149,6070184.525121802,27949.662552395883
13214,13214,1333,ITCS006,6.5,0.007297509610712981,4965393.671297564,36235.008037267384
13877,13877,1996,ITCS222,7.3,0.0011565773303938561,4225159.259900837,4886.723417304991
13482,13482,1601,ITCS006,6.7,0.004604417285294149,3066029.5040556155,14117.279245695523
13256,13256,1375,ITCS021,6.5,0.007297509610712981,1169198.174771287,8532.234917221542
13851,13851,1970,ITCS222,7.2,0.0014560445919378825,1029164.2442289559,1498.5090320254094
13259,13259,1378,ITCS021,6.5,0.007297509610712981,939672.0187104957,6857.26558745791
13738,13738,1857,ITCS006,7.0,0.0023076751616821715,449060.07548317494,1036.284782295644
13257,13257,1376,ITCS021,6.5,0.007297509610712981,395089.13211253093,2883.166738679445
13360,13360,1479,ITCS006,6.6,0.0057966179269611255,386030.7478621089,2237.6727534157108
13396,13396,1515,ITCS021,6.6,0.0057966179269611255,251165.86980197736,1455.912583534926
13816,13816,1935,ITCS222,7.1,0.0018330515374960707,226385.6212907416,414.9765111739971
13258,13258,1377,ITCS021,6.5,0.007297509610712981,221512.20600957162,1616.4874522450825
13038,13038,1157,ITCS006,6.4,0.009187020291738728,158370.39285799547,1454.9520127970384
13088,13088,1207,ITCS021,6.4,0.009187020291738728,137415.1703267293,1262.4359581843955
13215,13215,1334,ITCS006,6.5,0.007297509610712981,87813.27390589175,640.8182102764165
13914,13914,2033,ITCS222,7.5,0.0007297509610712982,80201.16856482379,58.52687983922135
13090,13090,1209,ITCS021,6.4,0.009187020291738728,75990.33386455385,698.1247391896568
13792,13792,1911,ITCS006,7.1,0.0018330515374960707,50203.71064046809,92.02598897751787
13771,13771,1890,ITCS222,7.0,0.0023076751616821715,42961.62658005848,99.14147856426553
12885,12885,1004,ITCS021,6.3,0.011565773303938563,41774.159453997134,483.15045820751277
13770,13770,1889,ITCS222,7.0,0.0023076751616821715,37215.35060879305,85.88094023320521
13260,13260,1379,ITCS021,6.5,0.007297509610712981,26177.56522532933,191.0310338169067
13087,13087,1206,ITCS021,6.4,0.009187020291738728,24306.08346538877,223.30048200922178
13362,13362,1481,ITCS006,6.6,0.0057966179269611255,22738.006189269683,131.80353430007366
13091,13091,1210,ITCS021,6.4,0.009187020291738728,17087.520296566552,156.98339570005427
12888,12888,1007,ITCS021,6.3,0.011565773303938563,14096.359052034952,163.03529320675855
12639,12639,758,ITCS021,6.2,0.01456044591937882,10973.70302189434,159.78200938561648
12640,12640,759,ITCS021,6.2,0.01456044591937882,8029.069569644687,116.90683325174165
13712,13712,1831,ITCS222,6.9,0.0029051909032078967,6992.566723426985,20.314741234974324
12643,12643,762,ITCS021,6.2,0.01456044591937882,3253.6291220998432,47.37429087405075
12887,12887,1006,ITCS021,6.3,0.011565773303938563,2509.027336834527,29.018841391212842
12345,12345,464,ITCS021,6.1,0.018330515374960717,2479.8802605760047,45.45748324455005
12824,12824,943,ITCS006,6.3,0.011565773303938563,2069.9190780551808,23.94021481428373
12642,12642,761,ITCS021,6.2,0.01456044591937882,1476.656375101794,21.500775291175636
13039,13039,1158,ITCS006,6.4,0.009187020291738728,1281.0206282406707,11.768762505782934
13213,13213,1332,ITCS006,6.5,0.007297509610712981,1028.1827666010665,7.5031736208407445
13637,13637,1756,ITCS222,6.8,0.003657418654161675,974.9711411771973,3.565877639010777
13037,13037,1156,ITCS006,6.4,0.009187020291738728,843.8847184645456,7.752786032422003
13484,13484,1603,ITCS006,6.7,0.004604417285294149,815.1887217120154,3.7534690410276457
12349,12349,468,ITCS021,6.1,0.018330515374960717,738.2146682885202,13.531855327084246
13092,13092,1211,ITCS021,6.4,0.009187020291738728,592.2326885633584,5.440853727262556
13089,13089,1208,ITCS021,6.4,0.009187020291738728,494.1570890125808,4.539831204065121
11992,11992,111,ITCS021,6.0,0.023076751616821708,481.2581881222197,11.105875670858119
12825,12825,944,ITCS006,6.3,0.011565773303938563,480.37052801827394,5.5558566289526246
12344,12344,463,ITCS021,6.1,0.018330515374960717,454.4079656560749,8.329532200963303
12348,12348,467,ITCS021,6.1,0.018330515374960717,362.59422207985773,6.646538962706753
11993,11993,112,ITCS021,6.0,0.023076751616821708,234.05222685009412,5.40116510438363
12826,12826,945,ITCS006,6.3,0.011565773303938563,225.88481317763942,2.6125325420150918
12884,12884,1003,ITCS021,6.3,0.011565773303938563,183.92661779133547,2.1272535659347396
11997,11997,116,ITCS021,6.0,0.023076751616821708,155.7260518546182,3.5936514189173216
13549,13549,1668,ITCS222,6.7,0.004604417285294149,116.35791748697474,0.5357604065578568
12567,12567,686,ITCS006,6.2,0.01456044591937882,84.4352753394486,1.2294152602679014
12889,12889,1008,ITCS021,6.3,0.011565773303938563,83.08253677962132,0.960913785909238
11560,11560,3067,ITCS021,5.9,0.02905190903207895,80.09873316345917,2.327021109449581
13817,13817,1936,ITCS222,7.1,0.0018330515374960707,71.77428708641878,0.13156596729644432
12886,12886,1005,ITCS021,6.3,0.011565773303938563,71.66858509497659,0.8289026082225295
12350,12350,469,ITCS021,6.1,0.018330515374960717,51.27586601685106,0.9399130503863141
